1apf	1apf_A	1.000	49	0	0	1	49	1	49	2.630E-34	125	1.000	1.000
1apf	1ahl_A	0.857	49	7	0	1	49	1	49	3.011E-28	108	1.000	1.000
1ahl	1ahl_A	1.000	49	0	0	1	49	1	49	9.344E-34	124	1.000	1.000
1ahl	1apf_A	0.857	49	7	0	1	49	1	49	6.165E-29	110	1.000	1.000
1bds	1bds_A	1.000	43	0	0	1	43	1	43	3.272E-29	110	1.000	1.000
1bds	2bds_A	1.000	43	0	0	1	43	1	43	3.272E-29	110	1.000	1.000
1atx	1atx_A	1.000	46	0	0	1	46	1	46	3.033E-30	113	1.000	1.000
1sh1	1sh1_A	1.000	48	0	0	1	48	1	48	8.725E-30	112	1.000	1.000
1sh1	2sh1_A	1.000	48	0	0	1	48	1	48	8.725E-30	112	1.000	1.000
1sh1	1shi_A	1.000	48	0	0	1	48	1	48	8.725E-30	112	1.000	0.980
